open,high,low,close,volume,amount,position,bob,eob
3352.97,3372.472,3344.269,3369.244,41823991000,522080702357.3,0,2025-05-12 00:00:00+08:00,2025-05-12 00:00:00+08:00
3386.234,3386.234,3370.252,3374.871,42624070000,506608943780.3,0,2025-05-13 00:00:00+08:00,2025-05-13 00:00:00+08:00
