price,last_volume,created_at
3374.692,0,2025-05-14 09:14:03.039000+08:00
3374.692,0,2025-05-14 09:14:06.039000+08:00
3374.692,0,2025-05-14 09:14:09.040000+08:00
3374.692,0,2025-05-14 09:14:11.083000+08:00
3374.692,0,2025-05-14 09:14:12.039000+08:00
3374.692,0,2025-05-14 09:14:15.039000+08:00
3374.692,0,2025-05-14 09:14:18.039000+08:00
3374.692,0,2025-05-14 09:14:21.039000+08:00
3374.692,0,2025-05-14 09:14:24.039000+08:00
3374.692,0,2025-05-14 09:14:27.039000+08:00
3374.692,0,2025-05-14 09:14:30.042000+08:00
3374.692,0,2025-05-14 09:14:33.039000+08:00
3374.692,0,2025-05-14 09:14:36.040000+08:00
3374.692,0,2025-05-14 09:14:39.039000+08:00
3374.692,0,2025-05-14 09:14:41.083000+08:00
3374.692,0,2025-05-14 09:14:42.039000+08:00
3374.692,0,2025-05-14 09:14:45.040000+08:00
3374.692,0,2025-05-14 09:14:48.039000+08:00
3374.692,0,2025-05-14 09:14:51.039000+08:00
3374.692,0,2025-05-14 09:14:54.039000+08:00
3374.692,0,2025-05-14 09:14:57.039000+08:00
3374.692,0,2025-05-14 09:15:00.059000+08:00
3374.692,0,2025-05-14 09:15:03.039000+08:00
3374.692,0,2025-05-14 09:15:11.081000+08:00
3374.692,0,2025-05-14 09:15:12.039000+08:00
3374.692,0,2025-05-14 09:15:21.039000+08:00
3374.692,0,2025-05-14 09:15:30.039000+08:00
3374.692,0,2025-05-14 09:15:39.039000+08:00
3374.692,0,2025-05-14 09:15:41.078000+08:00
3374.692,0,2025-05-14 09:15:48.039000+08:00
3374.692,0,2025-05-14 09:15:57.039000+08:00
3374.692,0,2025-05-14 09:16:03.039000+08:00
3374.692,0,2025-05-14 09:16:06.039000+08:00
3374.692,0,2025-05-14 09:16:09.040000+08:00
3374.692,0,2025-05-14 09:16:11.083000+08:00
3374.692,0,2025-05-14 09:16:12.039000+08:00
3374.692,0,2025-05-14 09:16:15.039000+08:00
3374.692,0,2025-05-14 09:16:18.039000+08:00
3374.692,0,2025-05-14 09:16:21.039000+08:00
3374.692,0,2025-05-14 09:16:24.039000+08:00
3374.692,0,2025-05-14 09:16:27.039000+08:00
3374.692,0,2025-05-14 09:16:30.039000+08:00
3374.692,0,2025-05-14 09:16:33.039000+08:00
3374.692,0,2025-05-14 09:16:36.039000+08:00
