open,high,low,close,volume,amount,position,bob,eob
3087.513,3119.856,3073.054,3116.512,28137036200,331392138948.0,0,2023-01-03 00:00:00+08:00,2023-01-03 00:00:00+08:00
3117.571,3129.094,3109.451,3123.516,27331362600,316391228728.0,0,2023-01-04 00:00:00+08:00,2023-01-04 00:00:00+08:00
3132.761,3159.427,3130.23,3155.216,25700301800,335635934527.5,0,2023-01-05 00:00:00+08:00,2023-01-05 00:00:00+08:00
3155.075,3170.742,3151.841,3157.636,25738025500,338539843686.6,0,2023-01-06 00:00:00+08:00,2023-01-06 00:00:00+08:00
3169.374,3183.583,3165.428,3176.084,25811521800,342693770974.1,0,2023-01-09 00:00:00+08:00,2023-01-09 00:00:00+08:00
3178.022,3178.157,3165.145,3169.507,23298417500,310357698608.4,0,2023-01-10 00:00:00+08:00,2023-01-10 00:00:00+08:00
3172.376,3184.757,3160.89,3161.838,23774286900,309248892854.4,0,2023-01-11 00:00:00+08:00,2023-01-11 00:00:00+08:00
3167.273,3171.591,3153.404,3163.451,21667130500,275371843343.4,0,2023-01-12 00:00:00+08:00,2023-01-12 00:00:00+08:00
3170.355,3195.307,3167.51,3195.306,22022689700,288062499132.3,0,2023-01-13 00:00:00+08:00,2023-01-13 00:00:00+08:00
3198.519,3251.374,3197.319,3227.592,30674954900,413219640959.9,0,2023-01-16 00:00:00+08:00,2023-01-16 00:00:00+08:00
3229.435,3231.264,3211.757,3224.245,22659223000,302611778528.6,0,2023-01-17 00:00:00+08:00,2023-01-17 00:00:00+08:00
3227.595,3234.817,3220.37,3224.406,21210973000,266068176682.4,0,2023-01-18 00:00:00+08:00,2023-01-18 00:00:00+08:00
3221.518,3240.279,3210.383,3240.279,22646503000,296815557255.9,0,2023-01-19 00:00:00+08:00,2023-01-19 00:00:00+08:00
3247.203,3267.058,3247.203,3264.814,27321918200,329028168424.9,0,2023-01-20 00:00:00+08:00,2023-01-20 00:00:00+08:00
3308.869,3310.49,3266.758,3269.318,35332582900,453177014110.3,0,2023-01-30 00:00:00+08:00,2023-01-30 00:00:00+08:00
3266.144,3277.252,3252.014,3255.669,30016295700,375260749568.7,0,2023-01-31 00:00:00+08:00,2023-01-31 00:00:00+08:00
