symbol,trade_date,sec_id,open,high,low,close,volume,amount,pre_close,Position,updated_at,ext_data,timestamp,open_price,high_price,low_price,close_price
BK.007427,2024-03-29,891574,1007.3,1018.92,976.93,1000.0,1631478886,29015970147.59,0.0,0,2024-04-01T08:09:37+08:00,,2024-03-29,1007.3,1018.92,976.93,1000.0
BK.007427,2024-04-01,891574,1003.3589,1016.6705,1000.8635,1016.6705,1454199698,26594783439.5,1000.0,0,2024-04-01T16:39:19+08:00,,2024-04-01,1003.3589,1016.6705,1000.8635,1016.6705
BK.007427,2024-04-02,891574,1013.8864,1013.9828,977.2867,984.3387,1568910644,26115532283.45,1016.6705,0,2024-04-02T16:39:34+08:00,,2024-04-02,1013.8864,1013.9828,977.2867,984.3387
BK.007427,2024-04-03,891574,978.3007,978.6361,948.0506,954.3109,1291714269,20650134816.33,984.3387,0,2024-04-03T16:39:31+08:00,,2024-04-03,978.3007,978.6361,948.0506,954.3109
BK.007427,2024-04-08,891574,950.8869,958.8127,940.0787,944.3755,1090940611,16059063210.71,954.3109,0,2024-04-08T16:39:10+08:00,,2024-04-08,950.8869,958.8127,940.0787,944.3755
BK.007427,2024-04-09,891574,943.5912,949.3646,935.3512,948.1382,884465147,14719563242.48,944.3755,0,2024-04-09T16:39:16+08:00,,2024-04-09,943.5912,949.3646,935.3512,948.1382
BK.007427,2024-04-10,891574,945.9333,945.9333,914.1505,921.2819,1044784324,15595246021.0,948.1382,0,2024-04-10T16:40:39+08:00,,2024-04-10,945.9333,945.9333,914.1505,921.2819
BK.007427,2024-04-11,891574,917.6875,942.6494,917.4404,928.7433,979514794,15377336460.18,921.2819,0,2024-04-11T16:40:56+08:00,,2024-04-11,917.6875,942.6494,917.4404,928.7433
BK.007427,2024-04-12,891574,931.5331,942.2395,923.3105,924.046,932620093,15000562327.86,928.7433,0,2024-04-12T16:39:48+08:00,,2024-04-12,931.5331,942.2395,923.3105,924.046
BK.007427,2024-04-15,891574,919.3005,930.9718,903.1266,916.554,1148115874,17118504131.25,924.046,0,2024-04-15T16:43:48+08:00,,2024-04-15,919.3005,930.9718,903.1266,916.554
BK.007427,2024-04-16,891574,908.1418,911.7256,879.1168,880.4653,1266501431,18790106415.31,916.554,0,2024-04-16T16:42:38+08:00,,2024-04-16,908.1418,911.7256,879.1168,880.4653
BK.007427,2024-04-17,891574,889.8406,924.9963,889.7123,924.9832,1256122250,19448391428.44,880.4653,0,2024-04-17T16:42:35+08:00,,2024-04-17,889.8406,924.9963,889.7123,924.9832
BK.007427,2024-04-18,891574,917.6083,930.1976,903.57,912.3253,1094324294,17581474151.77,924.9832,0,2024-04-18T16:43:22+08:00,,2024-04-18,917.6083,930.1976,903.57,912.3253
BK.007427,2024-04-19,891574,907.1122,909.4661,882.9581,887.8956,937676886,15857358769.12,912.3253,0,2024-04-19T16:42:48+08:00,,2024-04-19,907.1122,909.4661,882.9581,887.8956
BK.007427,2024-04-22,891574,868.0883,880.0124,855.4865,872.6399,846416589,13210928517.41,887.8956,0,2024-04-22T16:41:19+08:00,,2024-04-22,868.0883,880.0124,855.4865,872.6399
BK.007427,2024-04-23,891574,875.5306,883.8579,868.98,871.8661,739085043,10452689942.96,872.6399,0,2024-04-23T16:41:10+08:00,,2024-04-23,875.5306,883.8579,868.98,871.8661
BK.007427,2024-04-24,891574,876.8879,913.3625,876.8879,911.7787,1238423496,17886756403.59,871.8661,0,2024-04-24T16:39:53+08:00,,2024-04-24,876.8879,913.3625,876.8879,911.7787
BK.007427,2024-04-25,891574,904.3046,911.3117,898.9655,903.1664,968165795,13220159624.43,911.7787,0,2024-04-25T16:40:54+08:00,,2024-04-25,904.3046,911.3117,898.9655,903.1664
BK.007427,2024-04-26,891574,904.5809,936.5847,904.5809,931.5011,1514465857,23205776907.94,903.1664,0,2024-04-26T16:43:21+08:00,,2024-04-26,904.5809,936.5847,904.5809,931.5011
BK.007427,2024-04-29,891574,935.1641,963.8736,935.1641,958.6276,1577824743,22893280819.13,931.5011,0,2024-04-29T16:44:06+08:00,,2024-04-29,935.1641,963.8736,935.1641,958.6276
BK.007427,2024-04-30,891574,963.7301,971.7578,949.4781,962.0847,1252263971,22421597797.03,958.6276,0,2024-04-30T16:42:40+08:00,,2024-04-30,963.7301,971.7578,949.4781,962.0847
