timestamp,open,high,low,close,volume
2024-01-02,5418.8,5426.8,5383.4,5384.2,3080
2024-01-03,5378.0,5412.0,5350.0,5376.0,3299
2024-01-04,5368.6,5368.6,5298.6,5333.0,3796
2024-01-05,5326.0,5345.4,5240.4,5267.4,4626
2024-01-08,5246.4,5254.6,5086.2,5103.0,5940
2024-01-09,5113.6,5181.6,5102.0,5126.4,8368
2024-01-10,5114.4,5180.6,5060.4,5111.4,7633
2024-01-11,5111.4,5224.6,5104.0,5186.6,7593
2024-01-12,5176.8,5233.6,5164.0,5166.0,7983
2024-01-15,5143.4,5210.6,5129.6,5151.8,11291
2024-01-16,5148.6,5174.6,5074.0,5150.2,17601
2024-01-17,5130.8,5138.0,4953.6,4978.0,26017
2024-01-18,4963.2,4997.0,4796.2,4983.4,61479
2024-01-19,4969.0,5035.0,4935.2,4950.8,51428
2024-01-22,4908.4,4915.6,4490.2,4569.6,50874
2024-01-23,4572.8,4812.4,4540.0,4758.6,56968
2024-01-24,4815.0,4856.6,4629.0,4843.2,50495
2024-01-25,4839.4,5033.4,4805.0,5030.4,47401
2024-01-26,5015.0,5024.2,4933.0,4959.2,34792
2024-01-29,4979.0,4997.4,4848.0,4852.6,32931
2024-01-30,4834.0,4873.4,4700.0,4719.0,35962
2024-01-31,4703.0,4747.6,4595.0,4609.0,55059
2024-02-01,4600.0,4712.6,4545.0,4596.0,50415
2024-02-02,4629.8,4668.0,4274.2,4452.4,64586
2024-02-05,4412.0,4513.0,4129.2,4285.2,90067
2024-02-06,4279.6,4822.0,4271.8,4809.8,106471
2024-02-07,4805.0,5134.6,4802.0,5128.6,140872
2024-02-08,5180.0,5399.0,5085.2,5110.6,168495
2024-02-19,5201.0,5213.0,5025.0,5083.4,92112
2024-02-20,5034.0,5099.6,5011.4,5077.0,5187
2024-02-21,5046.6,5232.0,5038.0,5087.4,8084
2024-02-22,5078.6,5156.8,5077.4,5139.6,5039
2024-02-23,5147.0,5173.8,5072.6,5167.6,5833
2024-02-26,5166.0,5228.2,5122.8,5149.4,7679
2024-02-27,5135.0,5288.2,5127.2,5287.0,7367
2024-02-28,5292.6,5361.8,5150.6,5158.0,9100
2024-02-29,5110.4,5344.2,5110.4,5334.4,9220
2024-03-01,5334.4,5384.8,5302.0,5380.8,8954
2024-03-04,5372.0,5389.2,5300.0,5361.4,7511
2024-03-05,5335.8,5358.2,5293.0,5311.0,8484
2024-03-06,5300.0,5393.0,5271.6,5321.4,9266
2024-03-07,5327.6,5364.0,5250.0,5251.2,9815
2024-03-08,5271.2,5346.8,5245.4,5324.2,10506
2024-03-11,5315.4,5439.2,5314.2,5438.4,14265
2024-03-12,5439.8,5462.6,5366.8,5405.8,21869
2024-03-13,5393.0,5450.0,5368.0,5396.4,27226
2024-03-14,5406.0,5436.8,5338.4,5382.2,41073
2024-03-15,5363.2,5456.8,5338.8,5452.6,53911
2024-03-18,5447.2,5521.4,5428.0,5515.2,2622
2024-03-19,5508.2,5508.2,5448.2,5451.0,3950
2024-03-20,5449.6,5486.2,5436.2,5469.4,3478
2024-03-21,5482.8,5493.2,5429.4,5445.6,3910
2024-03-22,5441.2,5441.2,5323.2,5348.0,5238
2024-03-25,5331.4,5372.6,5259.0,5276.2,4733
2024-03-26,5280.2,5300.0,5220.2,5247.8,4539
2024-03-27,5242.2,5251.8,5123.4,5123.4,4801
2024-03-28,5133.8,5259.0,5133.8,5196.0,5773
2024-03-29,5196.0,5271.8,5180.0,5267.6,4754
2024-04-01,5285.0,5393.0,5285.0,5384.0,4466
2024-04-02,5384.0,5391.8,5332.6,5364.4,4117
2024-04-03,5356.2,5360.0,5322.4,5350.2,4278
2024-04-08,5330.0,5355.0,5258.4,5268.6,5898
2024-04-09,5275.4,5316.4,5263.0,5314.6,5220
2024-04-10,5310.0,5310.0,5204.0,5246.0,7756
2024-04-11,5215.2,5338.0,5210.8,5282.8,8803
2024-04-12,5295.0,5318.8,5235.0,5244.0,9669
2024-04-15,5232.6,5358.0,5188.4,5320.6,14376
2024-04-16,5300.0,5330.8,5151.4,5171.4,19274
2024-04-17,5216.0,5328.6,5196.2,5324.8,29407
2024-04-18,5306.6,5406.4,5278.6,5336.8,40593
2024-04-19,5328.8,5358.8,5271.0,5288.0,46356
2024-04-22,5252.0,5294.4,5203.8,5210.4,27256
2024-04-23,5217.6,5242.4,5139.0,5150.0,25767
2024-04-24,5161.2,5212.2,5124.2,5209.8,22681
2024-04-25,5193.6,5249.0,5172.2,5209.2,25908
2024-04-26,5220.8,5360.0,5220.8,5344.2,33487
2024-04-29,5350.2,5488.0,5350.2,5467.0,36378
2024-04-30,5467.0,5473.0,5415.0,5420.6,23545
2024-05-06,5471.8,5530.0,5471.8,5496.4,28182
2024-05-07,5500.2,5514.4,5470.4,5487.8,17947
2024-05-08,5480.0,5480.0,5411.2,5417.8,20722
2024-05-09,5418.0,5539.4,5418.0,5516.0,27278
2024-05-10,5529.0,5547.0,5450.6,5500.0,26824
2024-05-13,5478.0,5493.4,5413.4,5463.6,29036
2024-05-14,5485.6,5510.0,5437.0,5454.0,29804
2024-05-15,5449.2,5457.2,5391.4,5405.8,32992
2024-05-16,5430.0,5445.0,5358.6,5378.4,47928
2024-05-17,5387.4,5468.2,5370.0,5460.4,59718
2024-05-20,5458.2,5492.8,5422.0,5456.2,2628
2024-05-21,5444.4,5451.4,5391.8,5416.4,3540
2024-05-22,5416.4,5425.0,5388.8,5400.0,3219
2024-05-23,5389.4,5389.4,5275.6,5300.0,4058
2024-05-24,5290.0,5346.8,5242.2,5248.2,4201
2024-05-27,5276.2,5305.4,5215.0,5296.6,3995
2024-05-28,5292.0,5297.2,5236.4,5256.8,4173
2024-05-29,5255.8,5312.4,5242.4,5264.6,4897
2024-05-30,5251.4,5299.0,5235.8,5263.0,4375
2024-05-31,5287.0,5315.2,5255.4,5259.0,3688
2024-06-03,5255.4,5269.6,5169.2,5214.0,5693
2024-06-04,5201.2,5304.4,5193.8,5281.8,6813
2024-06-05,5274.0,5292.0,5219.8,5221.4,4934
2024-06-06,5245.2,5259.8,5160.0,5183.8,6770
2024-06-07,5219.0,5228.0,5124.0,5154.8,7643
2024-06-11,5126.4,5192.0,5111.4,5172.2,6281
2024-06-12,5166.0,5201.2,5160.0,5182.0,6543
2024-06-13,5185.6,5200.0,5132.8,5152.0,7002
2024-06-14,5142.8,5209.8,5122.2,5182.0,12311
2024-06-17,5168.2,5190.4,5158.2,5168.2,12576
2024-06-18,5170.6,5219.0,5170.6,5198.4,20388
2024-06-19,5206.2,5215.0,5132.0,5139.0,23464
2024-06-20,5132.0,5153.8,5052.0,5058.8,38865
2024-06-21,5050.0,5097.4,5041.4,5060.6,46410
2024-06-24,5020.2,5025.6,4931.0,4947.0,2262
2024-06-25,4953.2,4965.0,4863.0,4900.0,2988
2024-06-26,4896.0,4981.2,4866.8,4968.0,2879
2024-06-27,4952.2,4959.6,4871.2,4888.0,2797
2024-06-28,4875.6,4970.0,4875.6,4885.6,3050
2024-07-01,4887.2,4975.6,4876.0,4946.0,3458
2024-07-02,4946.0,4951.6,4881.8,4901.0,2606
2024-07-03,4902.0,4910.4,4856.2,4860.4,2548
2024-07-04,4874.0,4886.4,4772.4,4780.2,2933
2024-07-05,4790.2,4834.0,4747.8,4815.6,3301
2024-07-08,4807.6,4815.2,4715.0,4738.0,3305
2024-07-09,4736.2,4855.8,4706.4,4830.0,5808
2024-07-10,4816.8,4858.0,4802.8,4806.4,4979
2024-07-11,4855.2,4916.0,4831.6,4904.2,6198
2024-07-12,4900.6,4909.2,4871.2,4885.0,4959
2024-07-15,4875.0,4875.0,4826.8,4840.2,9134
2024-07-16,4834.6,4877.6,4810.2,4853.4,14124
2024-07-17,4855.0,4870.2,4812.0,4823.0,20577
2024-07-18,4806.0,4855.0,4758.2,4853.4,41540
2024-07-19,4831.0,4882.2,4807.8,4846.2,45201
2024-07-22,4830.0,4847.0,4780.4,4806.0,17477
2024-07-23,4812.4,4823.0,4662.8,4665.0,23007
2024-07-24,4664.0,4685.0,4598.4,4605.2,25867
2024-07-25,4568.2,4666.0,4568.2,4596.8,28754
2024-07-26,4616.8,4697.6,4616.8,4678.8,24142
2024-07-29,4680.4,4691.2,4642.0,4652.6,15776
2024-07-30,4639.8,4669.6,4592.0,4649.6,20873
2024-07-31,4658.6,4873.2,4636.8,4871.6,35718
2024-08-01,4872.0,4918.0,4796.0,4821.2,27127
2024-08-02,4781.0,4851.0,4746.4,4755.6,24185
2024-08-05,4736.8,4831.8,4655.4,4665.2,37467
2024-08-06,4729.0,4755.0,4658.2,4715.8,28376
2024-08-07,4710.0,4755.0,4678.0,4711.8,20999
2024-08-08,4705.0,4769.0,4666.0,4727.6,23439
2024-08-09,4758.0,4784.6,4678.6,4682.0,21832
2024-08-12,4672.6,4711.6,4658.2,4694.0,22486
2024-08-13,4705.0,4710.8,4650.2,4705.0,28481
2024-08-14,4701.0,4703.6,4625.8,4626.6,36371
2024-08-15,4623.8,4735.8,4616.0,4661.2,60654
2024-08-16,4677.0,4685.4,4639.0,4642.8,44945
2024-08-19,4608.6,4700.0,4608.6,4642.0,1817
2024-08-20,4643.6,4651.8,4534.4,4550.6,3635
2024-08-21,4545.0,4564.4,4535.8,4550.8,2334
2024-08-22,4553.6,4561.0,4476.0,4493.0,3965
2024-08-23,4483.8,4519.0,4481.2,4500.2,3047
2024-08-26,4506.2,4528.6,4485.0,4508.4,3092
2024-08-27,4500.0,4500.0,4453.8,4461.2,3048
2024-08-28,4452.4,4502.4,4448.4,4463.8,3157
2024-08-29,4447.4,4555.8,4430.8,4529.4,5540
2024-08-30,4529.0,4691.2,4523.0,4607.4,6536
2024-09-02,4600.4,4613.0,4505.8,4511.0,5428
2024-09-03,4511.8,4587.6,4511.0,4556.6,4249
2024-09-04,4532.6,4596.2,4511.8,4550.0,4359
2024-09-05,4555.2,4606.0,4547.6,4569.4,4638
2024-09-06,4585.8,4592.0,4489.0,4496.4,5812
2024-09-09,4481.2,4516.4,4450.0,4470.6,8287
2024-09-10,4481.6,4498.8,4385.8,4467.0,9245
2024-09-11,4449.6,4498.4,4438.0,4482.6,9907
2024-09-12,4494.8,4547.6,4460.2,4469.6,10595
2024-09-13,4480.6,4483.8,4418.2,4419.0,13472
2024-09-18,4427.0,4450.4,4358.2,4438.2,30332
2024-09-19,4447.0,4557.0,4400.0,4508.6,51097
2024-09-20,4496.0,4500.0,4446.2,4474.8,49475
2024-09-23,4463.2,4518.2,4434.0,4459.6,1845
2024-09-24,4500.0,4686.0,4474.8,4685.2,4373
2024-09-25,4781.2,4832.2,4704.8,4713.0,4900
2024-09-26,4714.4,4991.4,4704.2,4988.0,6738
2024-09-27,5085.2,5413.4,5019.0,5413.4,10284
2024-09-30,5777.0,5887.4,5457.4,5887.4,15246
2024-10-08,6473.0,6473.0,5871.0,6080.8,18038
2024-10-09,5960.0,6102.4,5672.8,5793.4,20998
2024-10-10,5850.0,5915.0,5633.0,5701.0,16032
2024-10-11,5670.0,5682.4,5395.0,5471.4,14691
2024-10-14,5490.0,5629.0,5398.8,5596.6,17492
2024-10-15,5572.0,5660.0,5437.4,5442.6,19076
2024-10-16,5406.0,5558.0,5393.0,5457.8,29768
2024-10-17,5480.0,5548.6,5399.6,5401.2,42967
2024-10-18,5427.0,5865.0,5405.4,5613.4,90320
2024-10-21,5656.0,5793.2,5624.2,5682.4,63221
2024-10-22,5676.0,5762.0,5651.0,5741.4,53852
2024-10-23,5732.8,5850.0,5712.6,5755.8,66531
2024-10-24,5725.6,5749.6,5678.0,5710.0,53231
2024-10-25,5724.8,5839.2,5712.4,5797.0,62103
2024-10-28,5806.0,5867.0,5763.0,5857.8,50896
2024-10-29,5882.0,5900.0,5777.0,5800.8,60932
2024-10-30,5791.0,5858.6,5746.8,5814.4,61665
2024-10-31,5821.0,5920.8,5783.6,5859.6,76331
2024-11-01,5851.0,5899.0,5773.8,5821.0,74508
2024-11-04,5841.2,5920.0,5822.0,5917.4,52732
2024-11-05,5915.0,6118.6,5889.0,6093.8,77965
2024-11-06,6100.0,6186.6,6044.0,6096.0,89343
2024-11-07,6070.0,6219.6,6044.0,6207.8,73005
2024-11-08,6260.0,6304.8,6151.6,6174.0,81457
2024-11-11,6149.0,6274.6,6134.0,6240.0,72838
2024-11-12,6250.0,6316.8,6153.0,6184.0,84331
2024-11-13,6149.0,6220.0,6118.4,6186.4,77789
2024-11-14,6170.8,6174.8,6035.2,6057.4,84085
2024-11-15,6066.0,6076.6,5909.0,5913.2,102856
2024-11-18,5927.0,5927.2,5757.2,5805.0,3527
2024-11-19,5824.0,5895.6,5752.4,5876.8,5565
2024-11-20,5860.0,5959.2,5850.6,5920.4,6187
2024-11-21,5911.2,5935.8,5867.8,5910.2,3294
2024-11-22,5901.0,5913.0,5679.4,5685.6,4504
2024-11-25,5710.0,5713.2,5604.2,5663.2,5406
2024-11-26,5646.2,5702.0,5608.0,5623.8,4853
2024-11-27,5611.8,5757.0,5548.4,5736.2,7456
2024-11-28,5727.0,5770.8,5674.4,5699.2,5058
2024-11-29,5699.0,5864.0,5678.0,5797.8,8056
2024-12-02,5798.0,5921.4,5797.4,5886.2,5477
2024-12-03,5897.8,5914.0,5826.0,5879.0,6736
2024-12-04,5870.0,5889.0,5796.0,5838.0,5275
2024-12-05,5818.2,5881.4,5803.2,5850.8,5561
2024-12-06,5856.0,5979.0,5813.2,5933.0,6860
2024-12-09,5933.0,5959.4,5851.6,5898.4,6651
2024-12-10,6120.0,6150.0,5941.2,5970.2,11783
2024-12-11,5951.6,6029.6,5951.6,6011.0,9073
2024-12-12,6018.0,6088.0,5993.8,6069.2,9745
2024-12-13,6039.8,6039.8,5943.0,5972.2,16797
2024-12-16,5974.0,5979.0,5861.0,5879.0,16518
2024-12-17,5874.0,5899.2,5815.6,5825.2,21690
2024-12-18,5846.0,5904.2,5824.6,5861.2,26586
2024-12-19,5826.8,5905.6,5795.0,5884.0,40662
2024-12-20,5873.0,5946.4,5870.0,5895.6,47129
2024-12-23,5866.8,5895.2,5778.2,5784.8,1797
2024-12-24,5796.2,5870.0,5795.4,5854.8,2543
2024-12-25,5854.8,5855.6,5749.6,5808.6,2625
2024-12-26,5804.0,5866.0,5799.6001,5848.2002,2431
2024-12-27,5852.8,5952.0,5839.0,5867.0,2923
2024-12-30,5858.4,5902.0,5835.2,5869.0,3018
2024-12-31,5871.4,5884.2,5670.2,5670.2,3681
