symbol,trade_date,sec_id,open,high,low,close,volume,amount,pre_close,Position,updated_at,ext_data,timestamp,open_price,high_price,low_price,close_price
BK.007320,2024-03-29,887472,1005.21,1020.31,974.24,1000.0,3001359114,33459849115.77,0.0,0,2024-04-01T08:09:37+08:00,,2024-03-29,1005.21,1020.31,974.24,1000.0
BK.007320,2024-04-01,887472,1003.8463,1031.061,1003.8079,1030.6855,3057865962,34230280953.17,1000.0,0,2024-04-01T16:39:19+08:00,,2024-04-01,1003.8463,1031.061,1003.8079,1030.6855
BK.007320,2024-04-02,887472,1026.8231,1027.3746,997.2003,1003.7453,2703939103,29826300293.06,1030.6855,0,2024-04-02T16:39:34+08:00,,2024-04-02,1026.8231,1027.3746,997.2003,1003.7453
BK.007320,2024-04-03,887472,999.2297,999.6743,970.146,976.9464,2265209706,23268597278.04,1003.7453,0,2024-04-03T16:39:32+08:00,,2024-04-03,999.2297,999.6743,970.146,976.9464
BK.007320,2024-04-08,887472,973.9656,975.8953,957.9054,960.1281,1992205656,19268583673.61,976.9464,0,2024-04-08T16:39:10+08:00,,2024-04-08,973.9656,975.8953,957.9054,960.1281
BK.007320,2024-04-09,887472,960.576,965.5909,947.8808,960.2463,1676872630,16585959376.7,960.1281,0,2024-04-09T16:39:16+08:00,,2024-04-09,960.576,965.5909,947.8808,960.2463
BK.007320,2024-04-10,887472,954.9064,954.9064,924.9207,933.1515,2088221692,18739496609.95,960.2463,0,2024-04-10T16:40:39+08:00,,2024-04-10,954.9064,954.9064,924.9207,933.1515
BK.007320,2024-04-11,887472,929.5392,960.7734,929.5392,946.6491,1886199167,19924332403.96,933.1515,0,2024-04-11T16:40:56+08:00,,2024-04-11,929.5392,960.7734,929.5392,946.6491
BK.007320,2024-04-12,887472,946.5642,952.1462,935.3447,936.0749,1765461982,17137432410.49,946.6491,0,2024-04-12T16:39:48+08:00,,2024-04-12,946.5642,952.1462,935.3447,936.0749
BK.007320,2024-04-15,887472,930.6657,938.8646,897.3654,910.1811,2371584116,19945950725.64,936.0749,0,2024-04-15T16:43:48+08:00,,2024-04-15,930.6657,938.8646,897.3654,910.1811
BK.007320,2024-04-16,887472,901.9436,905.4749,853.7212,854.6883,2393296652,18593907838.92,910.1811,0,2024-04-16T16:42:38+08:00,,2024-04-16,901.9436,905.4749,853.7212,854.6883
BK.007320,2024-04-17,887472,866.0814,905.7696,866.0814,903.4205,2315251926,19117602973.98,854.6883,0,2024-04-17T16:42:35+08:00,,2024-04-17,866.0814,905.7696,866.0814,903.4205
BK.007320,2024-04-18,887472,898.0759,910.4449,884.5982,893.8899,1987127762,18159980843.06,903.4205,0,2024-04-18T16:43:22+08:00,,2024-04-18,898.0759,910.4449,884.5982,893.8899
BK.007320,2024-04-19,887472,889.1448,895.0256,873.0439,876.8275,1700129203,16098798799.19,893.8899,0,2024-04-19T16:42:48+08:00,,2024-04-19,889.1448,895.0256,873.0439,876.8275
BK.007320,2024-04-22,887472,860.6174,875.3132,852.2534,867.9939,1415977388,13259781148.64,876.8275,0,2024-04-22T16:41:19+08:00,,2024-04-22,860.6174,875.3132,852.2534,867.9939
BK.007320,2024-04-23,887472,872.6411,882.5237,871.191,872.0911,1508985202,14950094053.96,867.9939,0,2024-04-23T16:41:10+08:00,,2024-04-23,872.6411,882.5237,871.191,872.0911
BK.007320,2024-04-24,887472,877.6606,903.5934,873.7622,903.563,1920749915,18368946544.12,872.0911,0,2024-04-24T16:39:54+08:00,,2024-04-24,877.6606,903.5934,873.7622,903.563
BK.007320,2024-04-25,887472,893.9088,903.3326,889.29,893.8511,1820331083,16522176818.55,903.563,0,2024-04-25T16:40:54+08:00,,2024-04-25,893.9088,903.3326,889.29,893.8511
