symbol,trade_date,sec_id,open,high,low,close,volume,amount,pre_close,Position,updated_at,ext_data,timestamp,open_price,high_price,low_price,close_price
BK.007461,2024-03-29,925862,990.76,1014.35,975.97,1000.0,99296347,1427618047.56,0.0,0,2024-04-01T08:09:37+08:00,,2024-03-29,990.76,1014.35,975.97,1000.0
BK.007461,2024-04-01,925862,998.4253,1021.3828,997.5281,1021.3828,93101460,1437698843.99,1000.0,0,2024-04-01T16:39:19+08:00,,2024-04-01,998.4253,1021.3828,997.5281,1021.3828
BK.007461,2024-04-02,925862,1017.8912,1017.982,998.1729,1004.6449,87369323,1275056108.21,1021.3828,0,2024-04-02T16:39:34+08:00,,2024-04-02,1017.8912,1017.982,998.1729,1004.6449
BK.007461,2024-04-03,925862,1002.7682,1002.9606,973.0223,979.557,73632908,1016755392.46,1004.6449,0,2024-04-03T16:39:31+08:00,,2024-04-03,1002.7682,1002.9606,973.0223,979.557
BK.007461,2024-04-08,925862,978.2103,995.488,974.6383,977.6405,91816011,1220211085.84,979.557,0,2024-04-08T16:39:09+08:00,,2024-04-08,978.2103,995.488,974.6383,977.6405
BK.007461,2024-04-09,925862,977.1235,984.8738,969.569,977.3833,69214169,935190431.15,977.6405,0,2024-04-09T16:39:15+08:00,,2024-04-09,977.1235,984.8738,969.569,977.3833
BK.007461,2024-04-10,925862,972.7642,973.9979,940.6405,951.6406,76731308,1029680163.64,977.3833,0,2024-04-10T16:40:39+08:00,,2024-04-10,972.7642,973.9979,940.6405,951.6406
BK.007461,2024-04-11,925862,943.9299,966.2828,939.6169,953.5034,64570054,916734543.64,951.6406,0,2024-04-11T16:40:56+08:00,,2024-04-11,943.9299,966.2828,939.6169,953.5034
BK.007461,2024-04-12,925862,952.6495,965.1323,949.8189,951.628,64402382,931038649.77,953.5034,0,2024-04-12T16:39:48+08:00,,2024-04-12,952.6495,965.1323,949.8189,951.628
BK.007461,2024-04-15,925862,952.0361,957.4729,910.1291,927.8028,88504677,1234976818.04,951.628,0,2024-04-15T16:43:48+08:00,,2024-04-15,952.0361,957.4729,910.1291,927.8028
BK.007461,2024-04-16,925862,923.162,924.0223,878.7077,880.6396,99360132,1367605315.56,927.8028,0,2024-04-16T16:42:38+08:00,,2024-04-16,923.162,924.0223,878.7077,880.6396
BK.007461,2024-04-17,925862,887.9388,947.112,887.9388,946.4406,97723132,1439325867.05,880.6396,0,2024-04-17T16:42:34+08:00,,2024-04-17,887.9388,947.112,887.9388,946.4406
BK.007461,2024-04-18,925862,958.3038,977.8143,953.3257,964.7428,97264583,1458426316.87,946.4406,0,2024-04-18T16:43:21+08:00,,2024-04-18,958.3038,977.8143,953.3257,964.7428
BK.007461,2024-04-19,925862,963.9929,983.1207,963.2967,973.4339,127868477,1867344132.91,964.7428,0,2024-04-19T16:42:48+08:00,,2024-04-19,963.9929,983.1207,963.2967,973.4339
BK.007461,2024-04-22,925862,970.7531,980.295,958.6758,960.0684,149090649,2171642102.4,973.4339,0,2024-04-22T16:41:19+08:00,,2024-04-22,970.7531,980.295,958.6758,960.0684
BK.007461,2024-04-23,925862,958.4496,973.5269,958.4496,969.2247,151494804,2256825979.59,960.0684,0,2024-04-23T16:41:09+08:00,,2024-04-23,958.4496,973.5269,958.4496,969.2247
