order_id,update_type,status,latency_ms
throughput_test_order_33,FILLED,FILLED,4.937171936035156
throughput_test_order_34,NEW,NEW,4.79888916015625
throughput_test_order_34,TRADE,FILLED,4.805803298950195
throughput_test_order_34,FILLED,FILLED,4.815816879272461
throughput_test_order_35,NEW,NEW,4.65083122253418
throughput_test_order_35,TRADE,FILLED,4.659175872802734
throughput_test_order_35,FILLED,FILLED,4.669189453125
throughput_test_order_36,NEW,NEW,4.520893096923828
throughput_test_order_36,TRADE,FILLED,4.528999328613281
throughput_test_order_36,FILLED,FILLED,4.537820816040039
throughput_test_order_37,NEW,NEW,4.405975341796875
throughput_test_order_37,TRADE,FILLED,4.413127899169922
throughput_test_order_37,FILLED,FILLED,4.4231414794921875
throughput_test_order_38,NEW,NEW,4.287004470825195
throughput_test_order_38,TRADE,FILLED,4.293918609619141
throughput_test_order_38,FILLED,FILLED,4.303693771362305
throughput_test_order_39,NEW,NEW,4.167795181274414
throughput_test_order_39,TRADE,FILLED,4.176139831542969
throughput_test_order_39,FILLED,FILLED,4.186153411865234
throughput_test_order_40,NEW,NEW,4.036188125610352
throughput_test_order_40,TRADE,FILLED,4.044055938720703
throughput_test_order_40,FILLED,FILLED,4.054069519042969
throughput_test_order_41,NEW,NEW,3.919839859008789
throughput_test_order_41,TRADE,FILLED,3.9277076721191406
throughput_test_order_41,FILLED,FILLED,3.9370059967041016
throughput_test_order_42,NEW,NEW,3.7932395935058594
throughput_test_order_42,TRADE,FILLED,3.801107406616211
throughput_test_order_42,FILLED,FILLED,3.8111209869384766
throughput_test_order_43,NEW,NEW,3.6690235137939453
throughput_test_order_43,TRADE,FILLED,3.676891326904297
throughput_test_order_43,FILLED,FILLED,3.6869049072265625
throughput_test_order_44,NEW,NEW,3.5419464111328125
throughput_test_order_44,TRADE,FILLED,3.5500526428222656
throughput_test_order_44,FILLED,FILLED,3.5600662231445312
throughput_test_order_45,NEW,NEW,2.0380020141601562
throughput_test_order_45,TRADE,FILLED,2.045869827270508
throughput_test_order_45,FILLED,FILLED,2.0558834075927734
throughput_test_order_46,NEW,NEW,1.8961429595947266
throughput_test_order_46,TRADE,FILLED,1.9042491912841797
throughput_test_order_46,FILLED,FILLED,1.9142627716064453
throughput_test_order_47,NEW,NEW,1.7771720886230469
throughput_test_order_47,TRADE,FILLED,1.7840862274169922
throughput_test_order_47,FILLED,FILLED,1.7940998077392578
throughput_test_order_48,NEW,NEW,1.657724380493164
throughput_test_order_48,TRADE,FILLED,1.664876937866211
throughput_test_order_48,FILLED,FILLED,1.6748905181884766
throughput_test_order_49,NEW,NEW,1.5442371368408203
throughput_test_order_49,TRADE,FILLED,1.5511512756347656
throughput_test_order_49,FILLED,FILLED,1.5611648559570312
