order_id,update_type,status,latency_ms
concurrent_client_0_order_0,NEW,NEW,122.06625938415527
concurrent_client_0_order_0,TRADE,FILLED,122.11203575134277
concurrent_client_0_order_0,FILLED,FILLED,122.15328216552734
concurrent_client_0_order_1,NEW,NEW,111.09185218811035
concurrent_client_0_order_1,TRADE,FILLED,111.12380027770996
concurrent_client_0_order_1,FILLED,FILLED,111.15694046020508
concurrent_client_0_order_2,NEW,NEW,100.11410713195801
concurrent_client_0_order_2,TRADE,FILLED,100.14510154724121
concurrent_client_0_order_2,FILLED,FILLED,100.18014907836914
concurrent_client_0_order_3,NEW,NEW,89.06698226928711
concurrent_client_0_order_3,TRADE,FILLED,89.0970230102539
concurrent_client_0_order_3,FILLED,FILLED,89.12777900695801
concurrent_client_0_order_4,NEW,NEW,78.0937671661377
concurrent_client_0_order_4,TRADE,FILLED,78.12380790710449
concurrent_client_0_order_4,FILLED,FILLED,78.1557559967041
concurrent_client_0_order_5,NEW,NEW,67.12913513183594
concurrent_client_0_order_5,TRADE,FILLED,67.16203689575195
concurrent_client_0_order_5,FILLED,FILLED,67.19398498535156
concurrent_client_0_order_6,NEW,NEW,56.1680793762207
concurrent_client_0_order_6,TRADE,FILLED,56.1981201171875
concurrent_client_0_order_6,FILLED,FILLED,56.2291145324707
concurrent_client_0_order_7,NEW,NEW,45.018672943115234
concurrent_client_0_order_7,TRADE,FILLED,45.04871368408203
concurrent_client_0_order_7,FILLED,FILLED,45.079708099365234
concurrent_client_0_order_8,NEW,NEW,33.99801254272461
concurrent_client_0_order_8,TRADE,FILLED,34.0268611907959
concurrent_client_0_order_8,FILLED,FILLED,34.05904769897461
concurrent_client_0_order_9,NEW,NEW,21.517038345336914
concurrent_client_0_order_9,TRADE,FILLED,21.548986434936523
concurrent_client_0_order_9,FILLED,FILLED,21.596908569335938
concurrent_client_1_order_0,NEW,NEW,123.04091453552246
concurrent_client_1_order_0,TRADE,FILLED,123.07405471801758
concurrent_client_1_order_0,FILLED,FILLED,123.10671806335449
concurrent_client_1_order_1,NEW,NEW,112.03289031982422
concurrent_client_1_order_1,TRADE,FILLED,112.06388473510742
concurrent_client_1_order_1,FILLED,FILLED,112.09583282470703
concurrent_client_1_order_2,NEW,NEW,100.97503662109375
concurrent_client_1_order_2,TRADE,FILLED,101.00507736206055
concurrent_client_1_order_2,FILLED,FILLED,101.03392601013184
concurrent_client_1_order_3,NEW,NEW,90.00492095947266
concurrent_client_1_order_3,TRADE,FILLED,90.03520011901855
concurrent_client_1_order_3,FILLED,FILLED,90.06619453430176
concurrent_client_1_order_4,NEW,NEW,79.03313636779785
concurrent_client_1_order_4,TRADE,FILLED,79.06222343444824
concurrent_client_1_order_4,FILLED,FILLED,79.09297943115234
concurrent_client_1_order_5,NEW,NEW,68.06778907775879
concurrent_client_1_order_5,TRADE,FILLED,68.09687614440918
concurrent_client_1_order_5,FILLED,FILLED,68.12787055969238
concurrent_client_1_order_6,NEW,NEW,57.10601806640625
