price,last_volume,created_at
3372.964,15667600,2025-05-13 10:12:24.038000+08:00
3373.009,12386100,2025-05-13 10:12:27.038000+08:00
3372.625,11058100,2025-05-13 10:12:30.038000+08:00
3372.649,10906500,2025-05-13 10:12:33.038000+08:00
3372.583,10890500,2025-05-13 10:12:36.038000+08:00
3373.159,12857000,2025-05-13 10:12:39.038000+08:00
3373.159,0,2025-05-13 10:12:41.092000+08:00
3372.572,11769200,2025-05-13 10:12:42.038000+08:00
3372.779,10717000,2025-05-13 10:12:45.038000+08:00
3372.714,12271800,2025-05-13 10:12:48.038000+08:00
3373.14,11230000,2025-05-13 10:12:51.038000+08:00
3373.116,13572400,2025-05-13 10:12:54.038000+08:00
3372.849,10436300,2025-05-13 10:12:57.038000+08:00
3373.108,9920700,2025-05-13 10:13:00.038000+08:00
3372.99,9762700,2025-05-13 10:13:03.038000+08:00
3373.081,11450000,2025-05-13 10:13:06.038000+08:00
3373.138,10413100,2025-05-13 10:13:09.038000+08:00
3373.138,0,2025-05-13 10:13:11.090000+08:00
3373.462,14061800,2025-05-13 10:13:12.080000+08:00
3373.888,19863900,2025-05-13 10:13:15.038000+08:00
3373.773,13289400,2025-05-13 10:13:18.038000+08:00
3374.183,14436900,2025-05-13 10:13:21.038000+08:00
3373.997,9726500,2025-05-13 10:13:24.038000+08:00
3373.946,10479200,2025-05-13 10:13:27.038000+08:00
3373.876,9616900,2025-05-13 10:13:30.038000+08:00
3374.092,8773300,2025-05-13 10:13:33.038000+08:00
3374.042,8274800,2025-05-13 10:13:36.038000+08:00
3373.881,8641800,2025-05-13 10:13:39.038000+08:00
3373.881,0,2025-05-13 10:13:41.091000+08:00
3374.084,7775200,2025-05-13 10:13:42.038000+08:00
3373.941,8837200,2025-05-13 10:13:45.038000+08:00
3374.607,8325100,2025-05-13 10:13:48.038000+08:00
3374.136,8383900,2025-05-13 10:13:51.038000+08:00
3374.187,11359300,2025-05-13 10:13:54.038000+08:00
3374.48,9500800,2025-05-13 10:13:57.038000+08:00
3374.028,10586800,2025-05-13 10:14:00.038000+08:00
3374.204,10856500,2025-05-13 10:14:03.053000+08:00
3373.29,16077900,2025-05-13 10:14:06.054000+08:00
3373.668,12700800,2025-05-13 10:14:09.038000+08:00
3373.668,0,2025-05-13 10:14:11.092000+08:00
3373.803,10163900,2025-05-13 10:14:12.062000+08:00
3373.45,9622500,2025-05-13 10:14:15.058000+08:00
3373.651,8331300,2025-05-13 10:14:18.045000+08:00
3373.958,9245400,2025-05-13 10:14:21.101000+08:00
3373.908,13067200,2025-05-13 10:14:24.038000+08:00
3374.245,7503100,2025-05-13 10:14:27.038000+08:00
3374.25,9786100,2025-05-13 10:14:30.038000+08:00
3374.185,12039500,2025-05-13 10:14:33.038000+08:00
3374.232,11137000,2025-05-13 10:14:36.038000+08:00
3374.283,9552300,2025-05-13 10:14:39.038000+08:00
3374.283,0,2025-05-13 10:14:41.092000+08:00
3374.22,8131300,2025-05-13 10:14:42.038000+08:00
3374.434,8722700,2025-05-13 10:14:45.089000+08:00
